views,comments,likes,score
39,19,22,39
32,40,48,46
13,8,0,41
1,25,7,29
2,33,39,26
30,32,9,86
18,0,25,24
16,9,42,52
20,21,0,67
16,11,47,78
1,1,26,10
19,16,20,55
15,16,44,4
24,20,9,27
24,35,12,65
24,34,33,67
35,32,0,0
11,20,28,27
34,43,29,97
29,7,45,68
2,8,17,30
6,13,14,85
12,34,35,91
21,24,1,71
45,27,21,83
6,3,11,49
13,37,12,55
43,45,47,2
13,46,0,22
15,43,15,37
3,4,23,75
25,38,49,92
15,50,5,64
28,13,49,62
15,31,9,84
35,32,20,17
10,8,30,90
47,2,16,64
15,16,38,22
34,50,34,99
45,3,19,43
46,16,12,59
39,22,10,12
33,25,42,42
4,3,4,74
31,19,48,38
8,26,1,67
10,17,48,30
30,11,15,51
10,18,18,100
22,13,20,83
26,21,17,88
13,20,33,58
22,27,19,51
3,43,27,73
48,42,40,51
29,8,24,2
32,6,48,98
10,36,18,5
46,31,15,61
34,30,12,2
17,18,15,42
21,44,47,59
32,45,43,63
32,10,27,1
14,50,28,39
43,25,15,55
18,33,4,82
43,7,20,47
15,21,7,44
37,39,34,94
31,7,9,21
36,12,26,87
24,18,29,74
6,14,1,69
39,42,37,93
19,47,29,85
11,46,7,99
24,17,12,53
17,38,48,57
30,34,14,56
2,29,40,85
7,2,47,9
19,44,4,96
50,41,0,2
45,46,10,59
9,1,35,79
10,17,25,71
37,22,41,50
50,12,24,34
12,21,48,87
48,14,5,38
30,27,47,98
44,19,16,76
44,2,10,38
37,27,8,54
36,36,32,78
30,9,23,63
23,40,5,43
18,8,11,49
21,45,12,27
9,24,47,61
4,38,4,65
6,44,8,8
25,48,23,71
16,39,9,18
13,41,30,0
47,46,6,58
39,35,46,27
15,32,29,66
15,40,25,94
50,42,5,5
45,35,16,67
14,17,22,21
18,34,21,47
20,34,31,4
37,48,23,45
42,23,20,82
50,37,4,40
23,8,10,0
34,50,2,76
3,30,12,29
28,36,28,2
40,44,7,97
23,34,27,72
50,10,26,1
24,12,27,65
34,7,3,60
15,30,30,72
20,21,15,48
9,19,6,72
42,12,12,62
30,35,28,52
35,36,17,69
10,31,29,80
9,16,7,81
17,41,24,93
14,21,47,79
42,7,44,14
18,23,8,99
1,15,39,71
25,35,22,100
19,16,11,88
19,42,34,70
10,34,50,95
26,3,29,44
44,40,50,75
1,27,19,40
11,34,29,55
14,24,17,68
8,4,18,69
14,42,41,43
39,21,42,66
44,38,26,2
44,5,44,9
42,2,24,60
47,14,34,23
29,30,1,68
21,30,43,54
13,12,43,96
31,43,28,39
16,42,1,76
46,11,17,18
45,23,2,99
46,41,43,64
27,4,48,58
34,33,23,58
14,48,18,88
18,18,17,98
48,37,41,66
32,7,24,57
7,4,4,30
40,47,23,88
10,3,10,42
36,12,6,14
22,4,18,55
4,48,24,42
32,8,46,77
35,15,32,82
42,14,3,30
19,33,23,54
33,33,39,66
26,7,8,57
21,35,19,83
4,13,25,53
17,41,47,88
44,14,26,74
37,2,19,68
44,27,45,57
32,28,44,26
46,37,6,44
31,7,50,22
1,34,38,92
26,23,25,31
10,32,8,79
26,11,33,91
0,9,19,52
19,11,29,56
30,11,26,68
46,0,44,95
21,30,22,63
47,45,49,52
41,40,18,64
26,39,25,65
34,19,26,9
20,14,14,60
8,23,33,52
43,0,28,62
34,10,30,74
40,50,28,52
46,49,3,52
32,25,8,93
19,17,17,60
29,11,2,66
48,23,15,95
11,44,21,51
37,25,28,44
33,5,48,92
14,42,32,29
28,24,12,62
5,46,9,71
8,20,3,86
23,18,48,95
14,36,6,57
17,41,38,65
50,15,32,14
45,3,26,89
17,29,5,42
4,25,16,39
40,11,22,52
34,26,0,54
22,34,25,37
34,46,39,96
18,43,31,66
10,43,34,45
24,9,32,89
26,41,31,26
32,25,13,68
7,48,43,4
41,27,29,92
24,2,50,88
19,7,1,33
34,11,31,68
6,44,37,87
7,1,7,16
48,46,1,64
17,36,0,97
8,32,42,86
43,36,6,84
11,43,26,79
36,2,39,61
1,14,39,60
34,37,5,63
44,10,5,33
1,33,29,53
42,50,45,52
18,17,8,17
3,17,31,37
14,15,18,68
1,29,23,96
39,34,17,50
25,28,25,26
2,32,46,55
3,33,9,69
43,6,39,52
11,2,6,73
36,40,0,82
49,10,0,14
37,10,9,74
24,30,25,75
25,20,42,23
33,6,39,51
43,10,37,71
45,8,12,55
32,24,29,80
45,3,39,54
40,30,28,33
25,28,12,15
8,37,27,91
38,23,25,15
11,11,0,84
17,7,1,54
6,28,48,22
8,11,46,40
40,9,20,70
33,30,31,99
29,3,12,71
20,30,20,16
9,36,50,60
6,48,33,34
19,28,42,71
9,32,2,75
33,26,28,56
50,39,0,50
14,40,45,50
50,47,0,97
43,20,46,8
16,20,47,56
1,38,41,69
17,49,43,31
41,7,35,95
6,3,20,74
22,0,42,64
32,18,50,25
27,29,34,61
26,44,34,60
27,47,23,0
39,7,25,45
41,2,42,34
14,34,13,95
2,47,46,18
50,37,50,59
10,46,41,31
38,28,19,1
37,2,18,51
14,7,18,38
15,0,27,52
37,50,25,62
32,37,34,77
7,38,40,65
41,33,22,29
44,10,12,71
17,34,14,31
49,35,19,21
26,39,32,96
11,14,26,76
25,34,33,44
10,45,37,68
10,6,30,63
6,9,4,18
34,22,9,49
27,45,45,11
48,41,24,47
43,31,49,68
45,6,17,42
49,33,34,45
50,36,31,78
11,46,48,60
30,45,21,33
7,4,43,75
38,50,18,4
42,13,32,54
44,22,27,59
17,27,2,99
39,9,5,38
20,15,0,32
2,22,18,69
47,24,4,22
35,10,9,90
19,44,5,22
42,42,43,61
17,10,22,3
30,47,29,46
36,34,15,65
35,50,42,87
13,10,32,69
48,6,8,75
34,25,26,65
33,48,23,10
23,48,50,30
8,17,12,57
15,17,7,87
3,45,22,23
22,27,4,60
33,9,41,26
30,11,21,30
46,10,40,36
43,14,39,61
26,41,13,41
5,47,11,91
7,24,7,31
13,5,2,51
26,24,37,74
49,22,26,48
46,36,44,70
13,42,27,57
48,29,45,60
45,38,32,69
42,39,7,29
48,28,8,80
5,27,0,26
21,15,3,61
12,30,34,27
24,47,23,28
6,48,36,4
47,37,4,70
36,42,1,91
20,43,46,67
50,29,44,68
0,32,35,10
29,16,17,95
35,19,50,84
25,10,18,73
37,24,28,98
19,5,22,15
26,13,45,96
4,46,35,27
34,15,31,90
42,48,4,44
5,30,35,20
30,46,33,64
28,8,25,10
30,1,4,47
33,44,27,14
44,13,7,68
39,6,30,65
36,23,26,57
46,43,25,25
24,2,46,57
10,44,23,76
27,25,29,34
8,20,42,51
34,0,50,19
18,18,8,52
2,47,43,89
36,0,43,98
9,25,35,73
43,8,48,12
11,9,10,1
28,45,28,69
17,34,5,37
48,23,28,34
40,39,10,67
4,44,28,56
35,41,42,65
32,7,33,64
46,38,20,38
27,33,9,76
45,9,30,25
9,36,3,39
11,6,5,67
11,7,35,68
25,36,47,53
37,30,19,82
22,25,23,78
26,16,2,81
24,34,21,36
2,9,6,66
39,31,48,57
2,33,32,46
37,50,47,12
9,46,5,19
48,49,42,76
16,39,36,92
35,34,28,77
3,32,4,2
12,27,34,96
16,34,14,69
1,35,9,74
6,35,30,75
18,17,4,76
32,3,17,49
15,23,2,39
44,32,22,75
0,9,45,43
44,34,0,14
44,1,27,65
39,15,29,48
40,48,14,78
11,29,24,67
47,4,49,95
2,14,43,35
12,46,45,13
29,26,22,80
45,41,44,12
27,3,44,31
36,23,25,9
25,5,20,83
40,18,7,1
49,24,30,99
15,17,25,86
14,47,24,66
13,12,30,59
50,47,1,9
0,6,41,63
36,32,34,4
19,6,22,59
36,29,34,28
29,11,22,87
43,22,19,27
1,19,1,65
29,22,48,98
39,47,6,32
8,49,44,67
0,39,28,75
0,8,10,25
38,25,35,1
42,43,1,48
6,28,11,64
36,44,6,55
20,50,38,38
49,22,10,25
11,13,25,73
44,24,32,56
9,15,4,40
31,14,46,78
30,24,23,65
9,11,17,54
22,27,2,44
49,4,22,62
45,9,31,88
33,11,3,80
49,37,20,73
35,22,30,92
25,10,38,58
49,16,35,72
39,17,43,69
44,28,14,83
18,50,13,9
25,10,37,99
30,0,22,29
16,46,46,26
14,23,38,34
25,36,23,73
41,39,24,24
42,40,15,57
14,4,49,60
22,38,17,87
2,44,48,30
25,5,30,55
14,42,46,12
46,19,29,45
35,13,15,81
40,42,42,54
38,18,13,0
47,49,27,60
0,34,3,92
9,19,47,40
16,24,5,33
27,41,23,75
4,27,24,49
41,5,47,79
39,11,46,57
30,48,44,0
30,26,47,18
34,23,34,56
50,10,2,44
13,11,39,86
50,9,13,78
40,15,8,33
5,10,44,23
27,12,30,92
20,40,10,73
5,27,0,22
4,24,26,70
1,34,0,16
41,8,3,5
26,3,33,87
28,5,18,81
9,24,25,90
24,38,1,65
30,42,40,10
27,3,49,19
14,36,0,72
30,8,47,62
20,34,28,35
22,36,24,32
9,34,32,57
35,32,32,82
40,8,36,78
1,5,50,75
12,29,26,57
40,35,46,64
37,9,4,54
39,30,7,91
0,42,44,46
0,45,17,86
27,1,42,30
19,0,20,94
45,16,16,55
30,43,25,66
19,32,19,53
39,41,46,48
50,19,27,90
39,19,6,31
25,7,27,66
43,37,8,46
50,27,45,42
27,21,15,46
14,21,41,61
23,42,15,35
30,14,46,99
42,32,5,21
5,10,46,74
41,5,23,98
26,48,6,100
10,44,32,8
45,2,47,32
4,43,3,31
23,22,45,47
43,43,38,66
16,33,34,33
44,40,6,98
48,11,23,32
34,19,27,38
2,8,39,53
49,30,19,63
47,31,46,55
24,48,45,0
7,25,9,26
13,30,44,43
41,50,47,97
32,13,3,64
11,49,23,63
40,46,46,28
48,20,20,83
50,47,46,49
40,28,2,57
39,50,5,34
0,18,20,46
18,8,40,49
49,8,15,52
48,18,16,8
25,26,45,43
37,28,5,62
40,5,47,86
43,13,48,36
44,29,11,52
4,4,47,28
30,43,9,51
27,42,42,93
12,2,8,73
46,13,37,69
34,34,42,44
18,2,0,69
6,29,11,67
10,46,37,83
47,24,47,51
19,37,16,74
41,16,5,62
41,18,50,99
4,50,5,90
31,50,28,44
22,34,44,56
39,35,44,88
20,17,48,58
24,20,40,84
26,33,17,33
13,39,50,27
40,24,23,63
32,23,4,52
7,14,1,6
9,29,45,15
7,4,3,62
12,12,8,42
37,7,48,68
20,13,40,51
48,21,44,6
27,16,20,51
31,42,47,47
35,24,45,47
34,5,14,24
26,24,4,48
14,2,31,72
30,12,50,58
26,3,11,34
41,23,48,69
11,5,17,94
14,34,1,49
50,1,40,61
34,19,17,43
8,50,10,84
20,35,41,26
14,15,32,26
44,46,17,13
43,20,31,58
29,42,18,61
32,0,27,62
48,48,28,76
13,17,21,65
14,12,45,67
13,10,44,47
14,35,30,51
49,24,44,69
36,11,43,55
35,14,1,83
28,31,25,63
13,37,7,94
11,20,17,60
26,23,35,23
11,45,29,47
50,11,30,52
39,38,36,95
34,1,20,60
8,5,5,8
36,26,40,79
19,18,13,11
2,47,38,96
14,45,15,1
1,47,5,62
22,29,26,75
43,6,38,53
50,5,45,29
16,34,20,99
8,35,38,58
38,20,5,38
0,16,30,76
48,10,41,51
24,15,25,31
27,7,49,52
4,4,40,65
22,37,45,63
27,36,11,13
21,15,32,38
41,3,1,65
6,34,32,83
24,48,33,6
28,50,29,58
12,35,16,73
20,15,5,96
34,28,50,71
31,32,25,96
40,12,41,23
12,9,46,97
4,0,28,69
6,38,11,84
23,49,22,41
6,21,42,42
40,9,36,99
3,26,36,64
34,14,1,95
22,21,13,59
17,18,40,86
32,44,41,30
12,6,0,96
31,32,4,79
46,21,39,81
43,9,11,37
27,16,26,48
32,30,2,83
49,26,18,81
3,37,50,72
22,50,44,30
42,22,11,77
36,25,16,61
5,45,24,70
29,17,35,96
14,9,40,25
50,28,49,42
49,50,6,5
43,19,9,61
34,38,35,71
36,33,31,69
13,1,7,72
11,22,9,20
40,1,46,52
38,21,32,71
20,47,14,28
31,37,0,18
39,19,11,61
50,17,30,17
5,0,8,87
45,10,39,63
26,40,19,50
15,8,46,93
26,16,21,24
44,2,26,1
26,25,49,100
11,33,38,16
44,14,22,60
5,9,38,56
40,46,13,67
35,18,18,82
21,46,0,84
39,42,19,51
6,41,22,98
20,32,14,82
18,21,16,6
0,47,34,52
3,20,13,52
31,23,4,23
7,9,14,70
45,25,20,0
20,27,26,43
10,25,49,51
2,50,12,37
9,35,44,74
1,31,1,70
23,21,37,33
38,32,37,70
49,16,19,63
1,8,16,94
36,41,45,73
18,14,29,75
2,2,10,87
33,38,45,72
4,17,21,64
17,4,45,71
49,26,7,31
5,3,15,9
25,17,11,91
47,28,13,80
16,8,2,1
45,35,34,74
35,39,32,75
1,14,8,71
48,32,6,73
42,20,25,98
37,39,11,65
20,38,39,3
19,8,18,75
38,23,28,28
29,37,2,88
43,43,42,98
37,28,38,92
18,46,7,25
20,36,47,68
18,48,19,45
38,5,46,16
47,32,39,100
36,23,35,36
17,50,19,31
6,9,44,46
7,40,25,42
33,45,10,61
22,44,23,65
30,45,32,80
7,23,47,78
8,22,8,66
37,12,25,40
42,41,37,23
48,6,26,9
9,3,41,21
32,43,12,63
10,37,40,48
41,24,36,58
28,31,13,81
39,36,6,58
33,30,42,52
33,24,40,24
29,21,36,83
31,23,49,76
8,8,4,8
48,40,48,68
26,26,26,84
13,36,18,36
20,25,13,97
11,49,17,8
12,50,12,76
41,18,6,57
1,46,1,70
46,35,35,60
25,10,44,91
44,20,40,17
25,24,45,95
10,9,37,83
9,41,48,88
40,1,28,35
21,34,44,99
45,5,48,65
41,38,27,87
48,35,44,89
31,2,28,87
9,34,7,66
49,18,22,92
47,44,4,5
10,49,32,0
20,42,2,69
26,21,29,88
9,10,19,85
6,27,50,78
18,43,25,90
19,26,44,31
40,42,24,83
39,15,32,82
6,42,15,34
26,19,22,55
23,31,9,66
46,2,15,63
14,5,50,72
32,32,36,69
6,21,23,100
19,4,38,51
30,38,47,11
10,32,10,58
3,36,25,64
45,27,43,42
32,42,31,38
5,8,32,17
14,22,23,55
49,44,21,15
41,28,19,83
18,41,41,80
45,47,40,33
37,25,34,33
19,40,26,64
41,50,26,29
28,24,28,72
48,31,37,16
18,48,18,34
39,11,34,42
30,6,9,42
27,1,5,93
38,16,35,88
0,32,21,13
13,23,13,61
41,36,49,21
31,29,39,71
20,11,42,26
24,17,35,62
38,10,36,100
49,11,26,55
43,6,43,6
4,36,42,42
45,1,9,100
15,14,10,40
14,1,22,43
1,27,7,66
4,43,28,83
27,10,13,41
50,11,47,38
27,9,5,53
33,48,2,9
30,43,2,33
41,44,13,63
8,2,50,54
35,27,3,84
41,23,43,94
36,0,33,8
6,38,34,68
37,41,6,81
25,5,49,71
42,29,35,34
15,25,20,10
20,44,28,35
33,32,8,93
15,34,22,66
16,4,10,73
26,16,18,61
21,37,18,58
25,48,20,32
36,17,2,89
33,3,14,57
46,28,22,74
45,34,12,46
37,12,2,70
21,45,10,8
22,29,47,97
13,50,25,67
16,22,3,43
8,17,8,49
38,14,49,11
27,41,42,3
17,3,3,42
34,13,22,7
11,9,39,46
31,41,36,1
16,2,21,98
33,0,39,98
24,10,50,29
48,41,11,75
12,41,40,56
4,17,40,87
36,40,39,91
0,28,26,56
10,31,12,62
12,12,43,42
36,0,39,44
46,22,21,68
22,24,19,81
33,46,10,27
21,29,28,34
18,31,24,72
10,5,1,28
1,37,7,53
35,2,23,12
21,46,0,74
3,21,29,29
18,19,7,56
7,33,18,9
23,6,35,49
38,13,38,93
23,40,30,58
23,33,21,30
22,43,40,63
11,16,41,58
38,46,41,65
18,47,23,62
20,39,22,76
12,3,43,56
8,8,4,61
3,47,2,74
12,47,35,82
25,34,2,43
8,40,47,73
2,7,42,40
2,32,2,15
43,14,39,94
47,8,8,68
48,7,24,27
11,42,46,77
18,21,35,62
22,15,5,0
19,42,6,63
29,42,6,52
1,18,6,80
49,8,48,64
37,46,50,38
42,46,1,62
36,1,43,75
13,26,42,73
4,4,39,100
12,41,24,16
22,35,9,61
27,0,5,39
10,22,45,64
39,24,5,52
7,3,26,43
32,12,1,49
16,25,50,49
46,10,12,69
20,19,15,51
37,29,47,84
30,35,9,17
49,28,30,65
3,28,45,87
49,5,13,54
14,50,15,61
13,42,47,70
6,37,45,81
20,12,37,81
3,13,16,47
45,6,30,81
11,9,19,96
0,8,50,26
38,44,3,8
34,33,18,9
46,28,25,66
25,2,20,61
33,1,7,97
6,28,21,65
43,3,42,100
1,16,3,65
19,3,11,4
5,12,7,56
37,1,47,51
46,44,44,63
36,36,22,70
3,25,49,82
50,8,36,60
23,8,21,97
10,24,28,45
32,5,12,13
30,13,16,64
5,40,14,57
32,5,2,58
25,35,11,71
42,31,46,61
10,12,21,63
15,42,7,100
12,14,40,49
34,18,31,85
33,35,27,97
38,26,13,97
42,47,8,47
42,12,23,81
21,10,27,87
15,12,33,81
13,16,29,64
26,11,12,75
28,28,25,72
5,15,29,75
22,2,25,98
15,1,1,58
12,6,34,71
2,43,40,10
0,4,5,49
1,25,24,55
39,33,40,71
20,25,47,84
35,50,34,57
47,4,6,9
1,0,2,20
43,32,36,74
28,46,21,45
11,42,37,64
16,44,45,93
22,32,17,58
35,41,43,32
39,15,28,25
50,24,43,91
26,40,36,38
29,10,44,69
6,4,40,72
19,12,27,89
29,18,12,96
43,49,47,44
2,17,13,71
20,25,11,56
39,9,22,67
38,37,18,74
26,34,6,70
1,29,28,64
4,35,32,66
18,39,36,90
45,15,20,70
34,14,7,15
4,23,0,68
27,43,33,58
19,7,24,79
24,6,14,61
30,43,11,17
36,30,35,56
13,47,46,60
46,24,22,60
6,48,37,72
11,19,0,59
0,32,45,40
39,44,43,60
33,39,50,9
49,22,32,51
48,13,42,22
2,9,17,37
2,50,21,10
19,7,10,85
47,21,33,54
2,47,19,97
1,40,44,66
4,7,0,37
27,23,38,28
46,10,2,77
2,31,22,30
48,20,33,47
10,29,7,75
6,26,2,96
50,4,1,41
17,27,48,57
40,16,19,32
49,27,25,64
46,31,30,74
22,14,35,45
50,44,13,31
42,48,7,11
7,34,34,54
39,29,25,57
3,26,49,16
22,38,39,58
45,42,6,62
42,7,24,9
36,7,17,28
8,40,46,97
17,25,12,15
50,32,29,65
41,13,31,94
40,42,44,23
37,49,31,69
43,37,12,59
2,43,45,57
12,14,31,93
20,19,17,90
36,42,14,79
17,27,6,88
14,47,39,30
2,28,33,74
35,10,5,30
9,8,12,86
45,48,34,64
2,9,27,99
2,43,36,56
19,0,21,71
9,41,32,57
22,43,1,63
14,49,8,57
32,37,26,61
17,25,23,38
7,50,33,81
48,45,46,51
32,37,8,45
50,49,27,68
44,41,49,65
35,38,32,21
28,23,28,53
18,19,34,56
43,4,33,74
18,38,19,39
49,30,12,63
8,28,11,59
31,4,21,72
26,37,1,77
44,49,28,90
22,34,7,70
44,44,3,84
21,13,35,62
24,43,15,13
49,12,4,58
9,5,11,65
17,17,46,47
37,42,40,54
13,20,2,93
29,30,4,61
0,45,42,71
22,27,1,86
41,30,42,51
21,37,10,71
9,33,16,10
33,4,38,70
2,33,24,97
33,33,45,69
34,18,1,73
10,31,48,79
33,34,16,10
49,0,45,51
23,12,44,91
7,12,45,81
33,7,5,23
4,6,0,41
12,43,41,3
34,46,33,84
27,50,45,68
50,47,7,71
38,36,29,57
32,6,29,16
7,20,20,83
49,4,16,75
18,13,21,55
25,3,45,13
36,0,38,84
49,12,39,65
1,17,28,65
50,9,34,70
35,29,47,33
48,2,35,54
6,48,44,66
21,44,10,73
1,20,49,9
35,34,18,85
6,6,22,71
40,39,21,54
40,1,25,81
28,48,34,73
26,16,10,60
24,20,24,54
46,33,12,72
18,18,29,48
33,25,11,60
18,1,29,69
8,13,32,6
7,0,1,2
46,31,49,26
40,23,19,96
42,37,18,68
18,22,42,3
47,5,22,21
15,1,44,83
23,49,21,41
42,13,20,59
11,50,13,63
17,50,23,16
48,16,21,31
45,15,32,68
25,40,38,44
26,44,35,25
33,24,48,87
31,45,4,32
38,47,23,37
7,40,3,56
2,46,45,53
12,43,23,55
26,11,33,41
12,47,23,70
16,41,24,29
6,43,5,76
34,8,19,91
23,13,10,79
50,36,43,88
41,1,46,54
14,47,11,17
20,24,9,89
2,2,7,78
22,31,22,30
23,9,15,73
26,28,1,48
40,45,49,65
23,14,24,43
23,22,19,86
17,28,15,16
36,28,14,17
22,49,21,71
21,28,27,49
31,10,29,88
5,46,26,100
13,38,3,45
42,1,38,85
15,33,14,64
33,2,23,74
43,49,35,96
24,32,18,11
37,17,25,63
33,15,46,51
23,45,34,60
28,16,33,52
27,30,10,76
24,10,45,71
35,23,14,72
47,2,43,19
31,8,47,3
26,1,0,35
10,5,21,79
7,34,48,64
9,45,35,74
9,45,28,9
31,34,11,3
39,43,9,92
50,35,18,62
48,45,48,30
25,23,21,72
24,50,4,8
38,23,21,30
42,12,23,21
21,33,0,82
28,6,41,58
7,30,22,46
29,8,43,5
23,28,32,72
11,21,21,74
29,44,23,8
13,6,22,78
30,5,16,53
29,47,23,79
39,44,15,64
5,33,41,63
45,8,34,71
41,31,32,62
21,4,30,47
41,11,23,57
19,31,22,55
46,30,19,6
12,43,0,67
33,3,30,71
5,35,31,49
18,34,5,97
46,30,36,91
40,15,28,59
10,15,46,87
0,31,20,75
36,5,47,33
50,44,42,84
8,10,7,78
38,36,33,67
50,21,18,65
40,22,42,45
39,23,1,75
17,35,42,7
18,49,33,31
42,2,41,2
33,33,4,60
17,3,7,78
38,9,5,47
17,6,16,67
49,21,20,27
20,6,9,97
16,5,11,61
19,28,45,53
49,40,16,60
16,17,4,28
13,10,7,72
42,14,13,27
36,6,43,72
31,43,2,61
48,10,48,65
27,44,25,40
20,4,24,46
8,23,11,57
9,50,7,95
29,31,41,27
32,35,45,78
15,15,34,75
44,32,40,47
25,36,34,28
24,32,0,100
20,9,19,43
24,9,41,100
31,49,22,58
49,0,10,55
7,16,23,24
24,1,28,52
40,22,7,34
5,9,26,86
19,38,41,3
12,28,12,44
10,17,13,41
17,19,45,89
23,25,50,43
1,27,34,88
42,19,49,99
16,3,36,14
10,14,47,99
48,37,47,53
6,46,32,46
0,30,16,25
35,28,14,29
23,4,22,65
30,43,27,75
39,45,4,88
4,25,47,48
14,31,0,46
31,9,1,60
47,17,27,68
12,6,9,15
42,47,33,55
31,18,3,44
40,12,33,91
8,5,13,84
48,40,9,79
18,9,40,31
11,31,35,18
50,22,49,93
27,41,17,65
32,42,39,19
50,14,26,55
27,39,21,87
41,9,47,96
49,48,36,50
41,18,43,11
11,30,10,6
29,32,35,93
32,34,3,75
14,35,8,71
43,4,36,53
45,5,21,47
43,45,49,5
35,49,34,72
32,41,31,95
39,37,7,83
40,20,0,67
0,1,7,60
45,46,43,67
7,1,35,33
2,28,41,75
11,3,3,93
43,33,41,57
11,23,19,54
9,43,14,91
10,8,33,8
5,33,26,86
18,42,30,82
14,28,25,99
19,41,10,52
0,21,40,14
7,21,19,78
39,49,11,92
15,35,2,32
43,15,33,63
23,15,3,62
16,37,36,97
9,21,32,49
1,27,37,69
43,30,28,58
5,38,22,56
23,14,41,20
8,35,14,55
7,31,15,46
38,23,26,56
16,23,37,17
19,2,27,5
36,35,31,53
33,5,43,1
27,2,12,7
22,9,1,16
21,45,10,36
41,39,21,87
34,33,24,82
16,23,19,96
27,11,17,60
21,33,0,80
42,6,40,1
13,43,24,50
14,27,19,62
23,32,47,63
9,39,12,5
23,26,29,67
22,6,27,70
31,24,18,12
3,21,43,98
47,31,15,47
48,37,24,27
49,31,24,30
18,28,31,47
41,28,33,75
1,21,9,55
39,31,2,24
32,33,29,88
10,47,39,86
42,25,38,94
7,13,24,67
23,13,22,28
26,27,39,91
18,27,21,99
36,47,33,75
22,10,3,30
29,35,1,53
10,29,2,89
19,25,21,97
46,3,11,63
4,33,47,0
29,5,43,10
35,4,47,31
24,9,48,68
25,15,42,97
33,27,38,73
35,45,28,81
47,7,8,82
44,6,11,72
14,2,41,82
45,41,50,54
33,10,12,49
18,6,5,29
47,20,19,72
19,39,31,63
10,9,10,72
18,32,21,70
45,2,26,8
28,43,26,4
43,42,47,74
6,27,12,24
34,29,20,40
20,33,16,5
15,23,5,25
34,27,47,85
29,34,41,40
10,19,13,75
4,45,4,73
1,44,8,46
25,25,47,64
25,39,32,40
46,49,45,38
41,46,16,61
43,25,17,84
3,31,22,71
37,21,10,38
30,31,13,51
47,16,37,96
15,50,29,48
35,17,32,38
33,25,41,60
25,45,11,74
24,39,16,83
42,41,21,97
22,32,40,60
15,21,38,69
32,16,20,96
16,32,41,55
5,4,0,35
23,23,50,23
6,47,31,84
24,44,35,74
4,36,41,5
15,29,19,54
7,49,32,91
34,41,45,98
31,40,20,65
23,8,23,91
47,21,14,59
26,23,49,28
7,1,14,20
24,1,37,2
35,42,42,38
26,34,3,78
39,33,22,99
2,30,8,75
8,44,23,60
50,20,42,83
44,41,15,66
50,27,34,67
25,1,28,74
31,11,26,45
20,25,47,57
35,34,18,62
20,41,19,85
17,18,45,63
21,22,48,89
33,17,6,55
8,45,47,11
35,37,27,69
18,36,28,72
28,10,36,35
22,33,29,55
10,44,13,6
18,41,31,28
48,47,6,59
2,47,14,59
3,34,30,98
46,16,48,54
1,5,8,97
29,21,3,94
22,17,11,74
5,36,4,68
33,7,48,66
5,2,50,84
36,30,37,36
11,3,6,17
49,7,5,25
21,48,9,73
27,5,4,62
21,0,48,69
29,41,47,51
25,5,36,69
1,43,8,49
33,45,2,68
3,16,23,33
45,31,10,58
6,10,33,91
28,38,47,68
28,25,49,72
41,18,15,5
45,1,28,88
39,13,17,57
16,25,6,50
31,2,35,58
5,15,46,53
26,22,19,53
27,34,9,34
7,36,45,5
41,29,17,68
37,9,12,97
33,13,31,23
19,30,45,72
4,48,8,93
39,28,23,33
38,11,38,0
10,35,38,22
16,48,12,76
5,24,24,57
46,48,17,92
47,41,10,3
37,46,35,3
47,2,5,54
13,36,38,59
16,42,11,5
40,49,50,51
49,9,25,58
12,33,38,92
11,32,21,1
34,6,43,76
23,20,38,70
48,5,30,50
0,42,41,76
42,46,13,29
18,38,11,71
17,26,14,10
3,1,4,37
46,29,12,85
32,35,10,81
32,0,0,59
19,28,41,67
38,17,18,31
41,36,35,0
4,19,33,18
32,43,33,84
32,8,7,56
31,21,22,51
50,31,27,53
38,40,42,66
35,5,44,67
50,35,23,0
5,49,19,99
43,3,35,71
40,1,23,92
9,10,12,10
16,6,6,52
9,32,14,43
17,49,31,59
29,35,22,0
17,34,9,69
25,22,35,68
32,30,49,70
48,0,38,66
2,46,2,43
16,31,37,64
33,6,39,91
19,24,7,74
31,28,37,54
12,40,5,33
32,12,16,59
42,34,1,98
20,33,27,55
48,37,47,27
13,7,49,5
50,7,33,86
22,48,37,36
24,0,46,60
37,18,19,56
0,29,46,90
2,30,48,66
26,17,27,32
1,24,35,66
40,45,42,26
30,3,28,10
8,3,2,44
42,34,3,75
8,21,40,59
40,35,9,94
16,46,13,63
40,46,20,19
30,44,12,61
21,40,32,62
11,6,50,35
50,25,2,85
28,46,46,77
46,25,28,37
5,41,34,39
50,13,16,54
38,46,7,22
10,28,45,90
27,13,14,67
20,21,43,66
22,22,33,20
3,1,8,87
7,43,23,79
2,41,24,69
31,3,29,83
28,8,45,45
48,20,34,68
9,33,13,85
30,31,29,64
41,30,48,72
25,24,35,67
34,39,35,51
16,21,48,66
6,33,41,57
13,14,18,92
17,0,46,90
44,27,6,54
3,23,13,49
37,17,36,50
47,34,11,94
35,5,32,95
33,47,41,74
36,37,1,36
24,10,23,31
36,9,41,27
9,40,4,23
22,18,41,64
12,8,10,3
25,4,40,71
17,11,3,51
36,45,28,76
34,3,50,22
44,14,11,70
8,25,22,38
11,20,2,81
15,18,23,77
18,0,17,73
31,12,29,54
28,31,7,52
22,32,11,70
11,30,7,55
17,36,21,88
